[2026-03-17 20:24:47] 🚀🚀 2D 终极保守宇宙 (Grid=200 超高清抗锯齿·EPYC 防爆版) 启动 🚀🚀
[2026-03-17 20:24:47] 硬件自检：AMD EPYC 9754 并发严密封锁在 48 核，Numba 零拷贝结界已开启！
[2026-03-17 23:13:08] [Worker SUCCESS] eps=0.04957630489825369 | delta_a=0.015011391939600157 | MAE(100)=12.029360180219426 | 容量=192阶 | 耗时:2561.76s
[2026-03-17 23:13:24] [Worker SUCCESS] eps=0.048153267057751574 | delta_a=0.0188885183886702 | MAE(100)=261.3833814664108 | 容量=191阶 | 耗时:2577.68s
[2026-03-17 23:13:34] [Worker SUCCESS] eps=0.048628141629509285 | delta_a=0.005006283596423623 | MAE(100)=372.10451534519433 | 容量=194阶 | 耗时:2586.98s
[2026-03-17 23:13:44] [Worker SUCCESS] eps=0.04863049142802886 | delta_a=0.014377291861800184 | MAE(100)=82.55894846113031 | 容量=192阶 | 耗时:2597.79s
[2026-03-17 23:15:55] [Worker SUCCESS] eps=0.048506569880069794 | delta_a=0.015032635789972163 | MAE(100)=79.30212328827756 | 容量=190阶 | 耗时:2728.21s
[2026-03-17 23:15:59] [Worker SUCCESS] eps=0.04360281914504525 | delta_a=0.019588488773876367 | MAE(100)=65.11824489017624 | 容量=188阶 | 耗时:2732.43s
[2026-03-17 23:16:15] [Worker SUCCESS] eps=0.04430454819555893 | delta_a=0.009917464386513744 | MAE(100)=90.7954168368067 | 容量=191阶 | 耗时:2748.35s
[2026-03-17 23:16:41] [Worker SUCCESS] eps=0.04501457907332723 | delta_a=0.002700248228139103 | MAE(100)=14.562172298406107 | 容量=188阶 | 耗时:2774.33s
[2026-03-17 23:16:44] [Worker SUCCESS] eps=0.043327668306679314 | delta_a=0.01580926108981856 | MAE(100)=358.30450041546936 | 容量=190阶 | 耗时:2776.91s
[2026-03-17 23:16:54] [Worker SUCCESS] eps=0.04585116504286422 | delta_a=0.016736109688397845 | MAE(100)=171.99601163766246 | 容量=189阶 | 耗时:2787.00s
[2026-03-17 23:17:09] [Worker SUCCESS] eps=0.04389350873960984 | delta_a=0.008214369866095214 | MAE(100)=116.4388483833804 | 容量=188阶 | 耗时:2801.96s
[2026-03-17 23:17:22] [Worker SUCCESS] eps=0.046819646561950666 | delta_a=0.009298460367212142 | MAE(100)=220.10169498438725 | 容量=190阶 | 耗时:2815.83s
[2026-03-17 23:17:30] [Worker SUCCESS] eps=0.04766243616726591 | delta_a=0.011616458897531858 | MAE(100)=107.416087253666 | 容量=192阶 | 耗时:2823.50s
[2026-03-17 23:17:34] [Worker SUCCESS] eps=0.04774622003206531 | delta_a=0.009331761754815891 | MAE(100)=213.0059365500407 | 容量=190阶 | 耗时:2826.93s
[2026-03-17 23:17:38] [Worker SUCCESS] eps=0.04269156894691872 | delta_a=0.016315730727799946 | MAE(100)=296.58586238279526 | 容量=190阶 | 耗时:2831.51s
[2026-03-17 23:17:39] [Worker SUCCESS] eps=0.04405004337106627 | delta_a=0.0025532140908453155 | MAE(100)=212.38203559516322 | 容量=191阶 | 耗时:2832.64s
[2026-03-17 23:17:51] [Worker SUCCESS] eps=0.0437610801348499 | delta_a=0.006433192698121057 | MAE(100)=11.645849867667877 | 容量=189阶 | 耗时:2843.89s
[2026-03-17 23:17:56] [Worker SUCCESS] eps=0.04612731359179566 | delta_a=0.01641036829850054 | MAE(100)=41.916154661479794 | 容量=188阶 | 耗时:2849.01s
[2026-03-17 23:17:59] [Worker SUCCESS] eps=0.046262730290977175 | delta_a=0.011777665096819892 | MAE(100)=151.80842034927616 | 容量=190阶 | 耗时:2852.31s
[2026-03-17 23:18:09] [Worker SUCCESS] eps=0.047623373649979796 | delta_a=0.0030474326410869093 | MAE(100)=656.7355226255557 | 容量=191阶 | 耗时:2862.67s
[2026-03-17 23:18:12] [Worker SUCCESS] eps=0.04814778205347163 | delta_a=0.006524676949270735 | MAE(100)=48.94862498659074 | 容量=190阶 | 耗时:2865.73s
[2026-03-17 23:18:21] [Worker SUCCESS] eps=0.046477007174461536 | delta_a=0.006570221495042982 | MAE(100)=171.00038225594693 | 容量=191阶 | 耗时:2874.74s
[2026-03-17 23:18:22] [Worker SUCCESS] eps=0.04704004748222647 | delta_a=0.01772337132687616 | MAE(100)=1943.4574849763696 | 容量=190阶 | 耗时:2875.70s
[2026-03-17 23:18:24] [Worker SUCCESS] eps=0.047952842345804096 | delta_a=0.019718581823801325 | MAE(100)=241.61835485659213 | 容量=191阶 | 耗时:2877.49s
[2026-03-17 23:19:01] [Worker SUCCESS] eps=0.046904541882291456 | delta_a=0.015130450471810768 | MAE(100)=33.08412625775429 | 容量=190阶 | 耗时:2914.47s
[2026-03-17 23:30:02] [Worker SUCCESS] eps=0.05008628090813927 | delta_a=0.010661895157292713 | MAE(100)=107.04303326199118 | 容量=189阶 | 耗时:3575.15s
[2026-03-17 23:33:34] [Worker SUCCESS] eps=0.05146154097970585 | delta_a=0.019748004090913256 | MAE(100)=343.9536730062259 | 容量=192阶 | 耗时:3787.67s
[2026-03-18 00:10:43] [Worker SUCCESS] eps=0.04260473022724952 | delta_a=0.016453636973082487 | MAE(100)=137.9942644351494 | 容量=191阶 | 耗时:2228.91s
[2026-03-18 00:13:07] [Worker SUCCESS] eps=0.04252685484022541 | delta_a=0.01798639760560125 | MAE(100)=357.6117561912761 | 容量=194阶 | 耗时:2372.98s
[2026-03-18 00:13:53] [Worker SUCCESS] eps=0.044856977469982 | delta_a=0.019421984150017987 | MAE(100)=99.45738472827583 | 容量=192阶 | 耗时:2418.15s
[2026-03-18 00:13:54] [Worker SUCCESS] eps=0.04586445459964848 | delta_a=0.01157951085421261 | MAE(100)=209.30530407736023 | 容量=192阶 | 耗时:2419.64s
